pincode,district,state_name,latitude,longitude
831012,EAST SINGHBUM,JHARKHAND,22.839603,86.244904
831013,SARAIKELA KHARSAWAN,JHARKHAND,22.802459,86.197145
831014,SARAIKELA KHARSAWAN,JHARKHAND,22.802459,86.197145
831015,EAST SINGHBUM,JHARKHAND,22.802459,86.197145
831016,EAST SINGHBUM,JHARKHAND,22.802459,86.197145
831017,EAST SINGHBUM,JHARKHAND,22.802459,86.197145
831019,EAST SINGHBUM,JHARKHAND,22.802459,86.197145
831020,EAST SINGHBUM,JHARKHAND,22.802459,86.197145
831021,EAST SINGHBUM,JHARKHAND,22.7626,86.2056
832101,EAST SINGHBUM,JHARKHAND,22.618886,86.523826
832102,EAST SINGHBUM,JHARKHAND,22.632992,86.325965
832103,EAST SINGHBUM,JHARKHAND,22.802459,86.197145
832104,EAST SINGHBUM,JHARKHAND,22.659574,85.39804
832105,EAST SINGHBUM,JHARKHAND,22.840067,86.350029
832106,EAST SINGHBUM,JHARKHAND,22.747254,86.270522
832107,SARAIKELA KHARSAWAN,JHARKHAND,22.811578,86.298711
832108,SARAIKELA KHARSAWAN,JHARKHAND,22.830591,86.124822
832109,SARAIKELA KHARSAWAN,JHARKHAND,22.802459,86.197145
832111,EAST SINGHBUM,JHARKHAND,22.802459,86.197145
832112,EAST SINGHBUM,JHARKHAND,22.924496,86.296905
832113,EAST SINGHBUM,JHARKHAND,22.6203,86.1586
832301,EAST SINGHBUM,JHARKHAND,22.633287,86.375872
832302,EAST SINGHBUM,JHARKHAND,23.037155,86.99612
832303,EAST SINGHBUM,JHARKHAND,22.444786,86.326877
832304,EAST SINGHBUM,JHARKHAND,22.669561,86.390089
832401,SARAIKELA KHARSAWAN,JHARKHAND,22.965964,86.120475
832402,SARAIKELA KHARSAWAN,JHARKHAND,22.808554,86.112798
832403,SARAIKELA KHARSAWAN,JHARKHAND,22.88549,85.902162
832404,SARAIKELA KHARSAWAN,JHARKHAND,22.84685,85.974167
833101,SARAIKELA KHARSAWAN,JHARKHAND,22.536884,85.816008
833102,WEST SINGHBHUM,JHARKHAND,22.406944,85.449133
833103,WEST SINGHBHUM,JHARKHAND,22.646985,85.766883
833104,WEST SINGHBHUM,JHARKHAND,22.730664,83.896044
